Plant ID,Treatment,nBranches,nFlowers,plantHeight_cm,intLength_mm,leafMass_g,ChlorophyllConc,plantmass
1,1,1,22,23.8,7.26,0.1897,161.0572674,1.6037
3,1,1,22,23.2,8.26,0.3204,434.8368023,1.8204
7,1,1,12,23.6,2.99,0.2234,10.0446663,1.89
8,1,2,40,21.4,3.2,0.1699,4.053070652,1.635
13,1,2,50,21.2,2.11,0.3601,258.428427,3.1317
18,1,2,28,22.4,9.31,0.3175,401.0720618,2.6262
11,2,0,16,19.2,5.54,0.0785,95.42292994,0.7422
15,2,0,19,22.8,6.18,0.1559,18.3643326,0.7868
17,2,0,15,14.4,8.2,0.1758,360.3778416,1.2029
20,2,0,12,13.6,5.4,0.0547,93.06992687,0.9924
27,2,0,8,9.3,3.19,0.0887,182.8655581,0.4546
28,2,0,7,17.4,6.6,0.0952,15.36129202,0.3194
21,3,0,11,15.6,20.56,0.0685,270.7778102,0.5399
23,3,0,13,14.4,4.31,0.0723,,0.6059
24,3,2,26,22.4,7.25,0.0507,62.32810651,0.6346
25,3,0,10,18.8,22.13,0.0477,39.49842767,0.4442
26,3,1,10,22.4,19.12,0.0566,14.15830389,1.0053
30,3,0,14,23.6,16.71,0.1685,5.946142433,1.1372
